Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,1689.760010,1694.189941,1684.319946,1693.310059,1693.310059,0
2019-04-30,1691.329956,1691.430054,1675.969971,1676.140015,1676.140015,0
2019-05-02,1675.760010,1675.760010,1662.280029,1665.449951,1665.449951,0
2019-05-03,1664.939941,1676.900024,1664.050049,1672.329956,1672.329956,0
2019-05-06,1665.890015,1665.890015,1627.199951,1649.219971,1649.219971,0
2019-05-07,1647.849976,1653.000000,1613.349976,1617.849976,1617.849976,0
2019-05-08,1617.250000,1624.770020,1611.500000,1623.369995,1623.369995,0
2019-05-09,1622.449951,1622.449951,1593.839966,1596.689941,1596.689941,0
2019-05-10,1597.130005,1615.609985,1593.469971,1603.369995,1603.369995,0
2019-05-13,1603.180054,1603.239990,1572.849976,1573.839966,1573.839966,0
2019-05-14,1574.400024,1591.119995,1574.400024,1590.819946,1590.819946,0
2019-05-15,1591.140015,1597.959961,1574.770020,1593.319946,1593.319946,0
2019-05-16,1593.280029,1615.380005,1586.250000,1615.380005,1615.380005,0
2019-05-17,1614.439941,1614.439941,1591.060059,1606.859985,1606.859985,0
