,ABB.ST.csv_AdjClose,ALFA.ST.csv_AdjClose,ALIV-SDB.ST.csv_AdjClose,ASSA-B.ST.csv_AdjClose,ATCO-A.ST.csv_AdjClose,ATCO-B.ST.csv_AdjClose,AZN.ST.csv_AdjClose,BOL.ST.csv_AdjClose,ELUX-B.ST.csv_AdjClose,ERIC-B.ST.csv_AdjClose,ESSITY-B.ST.csv_AdjClose,GETI-B.ST.csv_AdjClose,HEXA-B.ST.csv_AdjClose,HM-B.ST.csv_AdjClose,INVE-B.ST.csv_AdjClose,KINV-B.ST.csv_AdjClose,SAND.ST.csv_AdjClose,SCA-B.ST.csv_AdjClose,SEB-A.ST.csv_AdjClose,SECU-B.ST.csv_AdjClose,SHB-A.ST.csv_AdjClose,SKA-B.ST.csv_AdjClose,SKF-B.ST.csv_AdjClose,SSAB-A.ST.csv_AdjClose,SWED-A.ST.csv_AdjClose,SWMA.ST.csv_AdjClose,TEL2-B.ST.csv_AdjClose,TELIA.ST.csv_AdjClose,VOLV-B.ST.csv_AdjClose,XOMX30.csv_AdjClose
165,217.100006,240.5,828.058044,180.949997,258.350006,234.80000299999998,700.184753,258.700012,195.83810400000002,77.63858,233.925659,109.063301,539.578979,128.89001499999998,408.905029,300.100006,160.75,99.868401,91.798294,162.699997,106.17218000000001,165.218597,169.216019,38.996944,190.192307,479.91223099999996,114.300003,39.473911,153.81578100000002,1665.099976
166,218.5,243.80000299999998,834.447632,182.800003,263.5,241.94999700000002,702.879761,262.850006,198.626205,77.776939,231.871094,108.96411100000002,544.5732419999999,127.028503,410.587769,301.700012,161.5,102.169289,91.442268,163.699997,105.55600700000001,165.701401,172.87162800000002,40.024696,190.192307,472.78146399999997,113.849998,39.133457,154.299469,1671.150024
167,219.399994,246.600006,839.639282,185.300003,263.450012,243.5,708.070007,258.700012,196.703384,77.83624300000001,232.84945699999997,107.72419,545.1724849999999,127.26118500000001,410.290833,303.299988,161.699997,103.39316600000001,92.304222,162.850006,106.17218000000001,166.522186,172.727325,40.274433,191.90249599999999,471.12085,114.099998,39.417168,154.057632,1677.219971
168,216.69999700000002,247.5,832.650574,187.199997,263.049988,242.94999700000002,709.5672,248.899994,199.010742,76.670082,233.63214100000002,108.17057,546.570923,120.39688100000001,410.389801,304.5,165.050003,105.49823799999999,92.098106,162.399994,105.745598,166.618744,173.352631,38.343792,191.632462,480.498322,113.150002,38.736256,155.025024,1672.560059
169,215.899994,245.100006,812.682922,186.399994,260.700012,241.80000299999998,697.889099,239.399994,196.126541,76.235237,231.871094,108.120972,542.5755,119.466125,408.509094,300.399994,160.050003,104.225403,91.442268,162.699997,105.082024,165.797958,169.07171599999998,38.286163,191.542465,477.56787099999997,112.800003,38.357975,152.364685,1658.160034
170,215.100006,242.19999700000002,807.491333,186.800003,261.950012,243.0,696.890991,241.69999700000002,195.54968300000002,76.946793,230.794891,107.625,547.969299,120.183578,409.5979,302.899994,159.949997,104.51913499999999,91.46100600000001,161.600006,105.03463,165.991089,167.917328,38.516684999999995,191.99250800000002,483.721863,113.599998,38.991596,151.92936699999998,1660.140015
171,213.899994,241.30000299999998,806.6926269999999,185.149994,261.149994,242.100006,687.408813,236.0,191.511795,76.72936999999999,231.18624900000003,106.186699,536.7822269999999,118.34146100000001,408.905029,298.700012,157.449997,102.316154,91.10498,159.850006,104.513245,162.611389,166.618622,38.862473,191.99250800000002,480.69372599999997,113.349998,38.235031,150.091309,1645.949951
172,211.69999700000002,241.0,781.33374,184.649994,259.350006,239.600006,676.6290280000001,235.0,190.886887,75.444618,230.794891,106.037903,522.798279,118.593544,403.955811,288.0,154.300003,101.679733,91.46100600000001,157.5,103.754868,161.500931,164.646515,38.881683,191.722473,460.961914,113.349998,37.695976,149.607605,1631.73999
173,213.30000299999998,238.600006,778.737915,184.0,254.0,235.5,672.536682,232.30000299999998,186.993195,77.954826,229.32734700000003,106.186699,525.994568,119.369171,404.05481000000003,287.899994,152.350006,100.847504,92.098106,156.600006,104.18145799999999,162.707962,162.241501,38.401424,191.722473,464.966888,114.349998,37.705433,149.607605,1632.420044
174,211.19999700000002,234.19999700000002,776.74115,182.449997,246.850006,227.44999700000002,672.237305,226.30000299999998,183.195648,77.599052,229.91436800000002,105.343544,526.394104,117.585228,401.481201,286.100006,151.300003,101.04332,91.161201,155.199997,102.8069,162.90107700000002,161.471924,38.728001,190.642349,466.62750199999994,115.550003,37.856747,147.52771,1618.199951
175,211.100006,233.30000299999998,766.9570309999999,182.649994,248.649994,230.25,680.22229,226.350006,183.62828100000002,76.72936999999999,230.697067,106.1371,521.399902,119.078308,404.252747,286.5,153.199997,100.99436999999999,92.39791899999999,155.300003,102.854301,164.639206,162.53010600000002,38.9105,191.99250800000002,465.748322,115.25,38.159374,149.317398,1624.25
176,211.30000299999998,234.899994,761.565735,183.5,248.899994,229.0,684.414429,222.94999700000002,183.387939,76.72936999999999,230.99057000000002,106.831451,522.598511,117.643394,401.283234,290.600006,153.149994,100.798546,90.80516800000001,155.850006,101.953735,165.170303,162.770615,38.728001,191.092407,465.748322,114.099998,38.348515,148.93043500000002,1620.390015
177,212.69999700000002,234.69999700000002,765.159973,183.449997,246.649994,227.399994,678.0263669999999,225.80000299999998,183.91670200000002,75.602745,233.240784,108.120972,519.402161,119.582466,402.669006,292.100006,153.600006,100.847504,90.355453,156.350006,101.053169,169.95015,162.19342,39.688519,190.822372,466.62750199999994,113.0,38.405262,147.769562,1618.810059
178,215.100006,234.600006,775.343445,182.0,247.399994,227.80000299999998,670.540466,226.600006,185.214584,76.749146,230.794891,108.716125,516.805176,118.98135400000001,403.75784300000004,290.899994,154.550003,100.113174,90.823914,155.600006,101.33755500000001,171.060623,162.578217,39.179443,191.90249599999999,462.32946799999996,113.400002,38.537659000000005,148.688583,1621.849976
179,217.30000299999998,238.100006,793.713684,185.949997,251.05000299999998,231.44999700000002,675.0320429999999,229.100006,186.464417,77.30257399999999,232.16459700000001,107.77379599999999,520.001465,119.407959,405.935516,291.0,156.300003,100.99436999999999,91.198669,156.25,101.669342,173.378128,165.079422,40.12075,192.262543,460.57119800000004,113.0,38.774086,149.704346,1634.73999
180,215.5,236.69999700000002,786.725037,186.449997,251.69999700000002,232.100006,668.3445429999999,230.25,186.07986499999998,76.096878,230.697067,106.23629,514.008362,139.264038,404.351746,289.100006,155.699997,101.43495899999999,90.711479,156.449997,101.621941,173.185013,165.945221,40.639431,191.362442,456.37088,113.25,38.764629,149.365753,1640.599976
