Date,ABB.ST_AdjClose,ALFA.ST_AdjClose,ALIV-SDB.ST_AdjClose,ATCO-A.ST_AdjClose,ATCO-B.ST_AdjClose,AZN.ST_AdjClose,BOL.ST_AdjClose,ELUX-B.ST_AdjClose,ERIC-B.ST_AdjClose,GETI-B.ST_AdjClose,HEXA-B.ST_AdjClose,HM-B.ST_AdjClose,INVE-B.ST_AdjClose,KINV-B.ST_AdjClose,SAND.ST_AdjClose,SCA-B.ST_AdjClose,SEB-A.ST_AdjClose,SECU-B.ST_AdjClose,SHB-A.ST_AdjClose,SKA-B.ST_AdjClose,SKF-B.ST_AdjClose,SSAB-A.ST_AdjClose,SWED-A.ST_AdjClose,SWMA.ST_AdjClose,TEL2-B.ST_AdjClose,TELIA.ST_AdjClose,VOLV-B.ST_AdjClose,XOMX30_AdjClose
2003-08-27,32.834377,9.972475,207.209183,14.714424,9.324471,287.10305800000003,12.145804,59.099945,46.402584000000004,35.600914,5.011054,38.242321000000004,42.403584,27.889009,21.641655,0.193707,19.317745000000002,60.70393000000001,8.701296000000001,25.850883,29.898993,10.109364999999999,36.742413,37.906467,36.622386999999996,15.586657,11.535266,588.0599980000001
2003-08-28,37.192271999999996,10.025238,207.632034,14.802351999999999,9.364906,289.636322,12.528802,60.732491,47.122005,35.876835,4.9229199999999995,38.352534999999996,43.027167999999996,28.010784,21.68964,0.193707,19.199226,61.002959999999995,8.66882,25.850883,29.551327,10.291507000000001,36.742413,37.579693,36.503871999999994,15.398864000000001,11.506715,589.969971
2003-08-29,35.914932,10.183533,211.860779,14.655804999999999,9.304235,280.347717,12.364649,60.895741,46.042866,35.600914,4.935512,38.793365,42.715382,28.619751,21.545679,0.196421,18.962194,61.30198299999999,8.60389,25.615875,30.130764000000003,10.382558,36.409882,36.926117,37.274208,15.398864000000001,11.535266,586.429993
2003-09-01,36.591179,10.394589999999999,214.397964,15.036871,9.567188999999999,281.61438,12.857035,61.385525,46.402584000000004,35.600914,4.834786,39.895451,43.338966,28.254343,22.121513,0.201849,19.791769,64.29231999999999,8.831151,26.085892,31.405527000000003,10.837936000000001,37.407425,37.906467,37.037174,15.680553,11.849346,598.450012
2003-09-02,35.99007,10.447353999999999,219.47258,15.564469,9.911049,282.881042,13.841876999999998,61.385525,46.762287,35.462875,4.859968,39.454609000000005,43.027167999999996,28.558834,22.457413,0.199134,20.265835,63.694279,8.766222,25.850883,32.100853,10.792413,37.407425,37.252903,37.452003000000005,15.962238000000001,11.877897,601.099976
2003-09-03,36.591179,10.869472,224.12419100000002,15.623091,9.951486000000001,289.214203,14.334267,62.365035999999996,48.201126,37.187771000000005,4.960694,40.226078,44.89793,28.619751,22.457413,0.20558,20.265835,66.684608,8.798697,26.085892,32.274685,10.883503999999999,37.57365,37.906467,37.926064000000004,16.056135,12.049211999999999,611.119995
2003-09-04,36.215481,10.869472,222.00972000000002,15.593782000000001,9.931251,292.169739,15.0455,62.20179,49.639977,38.084671,4.859968,39.895451,45.833294,28.376127,22.505398,0.201509,20.384357,65.78750600000001,8.701296000000001,25.615875,32.100853,11.111172999999999,37.739914,38.560028,36.740906,16.150028,11.935001,611.150024
2003-09-05,35.839797999999995,10.658412,219.89540099999996,15.242028,9.708768,296.81393399999996,14.990803,61.712031999999994,50.719093,37.877655,4.910328,39.675034000000004,45.521507,28.558834,22.457413,0.201849,20.265835,63.395244999999996,8.701296000000001,25.615875,31.927019,11.293316,37.57365,39.540366999999996,36.977942999999996,16.525612,11.792238000000001,612.48999
2003-09-08,36.215481,10.711176,217.78100600000002,15.212720000000001,9.668329,296.81393399999996,16.358576,60.895741,51.438522,38.084671,4.834786,39.675034000000004,45.521507,29.289589000000003,22.649363,0.20558,20.265835,63.99330500000001,8.701296000000001,25.615875,31.753196999999997,10.974556,37.57365,40.193915999999994,37.570518,16.807297,11.735133,615.1400150000001
2003-09-09,36.065208,10.447353999999999,213.975082,14.919585000000001,9.546953,296.391724,16.139729,60.405998,50.719093,38.774563,4.809602,39.564827,44.89793,29.411371000000003,22.457413,0.20117000000000002,19.673251999999998,63.096194999999994,8.60389,25.850883,31.811135999999998,10.929030000000001,36.90863,39.867146000000005,38.04459,16.713402,11.792238000000001,609.1099849999999
2003-09-10,34.412186,10.341825,210.16925,14.597188000000001,9.324471,298.080536,15.975579999999999,60.405998,48.201126,38.636593,4.771833999999999,39.123989,44.89793,28.619751,22.121513,0.197777,19.673251999999998,60.70393000000001,8.571417,24.910849,31.521421000000004,10.701319,36.90863,39.867146000000005,37.807552,16.478662,11.592369,599.179993
2003-09-11,34.111633000000005,10.552883,210.16925,14.890278,9.506517,295.125031,15.647347,61.875275,47.481716,38.22263,4.721468,39.234211,44.274345000000004,28.315268,22.025541,0.201509,19.791769,62.199104000000005,8.66882,25.380871,31.695251000000003,10.655794,37.074902,38.886803,38.400127000000005,16.384767999999998,11.763686,600.4400019999999
2003-09-12,34.787872,10.500117999999999,210.16925,14.743732999999999,9.425612,293.01412999999997,15.920885,60.895741,48.201126,37.256744,4.784426,39.013783000000004,44.89793,30.050739,21.833597,0.201849,20.028805,62.498118999999996,8.733749000000001,25.380871,31.695251000000003,10.564744000000001,37.57365,39.213581,39.229794,16.478662,11.592369,602.77002
2003-09-15,36.591179,10.341825,211.860779,14.831656,9.486283,291.325256,16.413273,60.569244,47.122005,37.877655,4.859968,39.895451,44.274345000000004,29.533152,22.073526,0.203545,20.621385999999998,62.797176,8.863626,25.615875,32.21674,10.655794,38.404922,39.213581,38.874245,16.196973999999997,11.678032,603.710022
