ABB.ST.csv_AdjClose,ALFA.ST.csv_AdjClose,ALIV-SDB.ST.csv_AdjClose,ASSA-B.ST.csv_AdjClose,ATCO-A.ST.csv_AdjClose,ATCO-B.ST.csv_AdjClose,AZN.ST.csv_AdjClose,BOL.ST.csv_AdjClose,ELUX-B.ST.csv_AdjClose,ERIC-B.ST.csv_AdjClose,ESSITY-B.ST.csv_AdjClose,GETI-B.ST.csv_AdjClose,HEXA-B.ST.csv_AdjClose,HM-B.ST.csv_AdjClose,INVE-B.ST.csv_AdjClose,KINV-B.ST.csv_AdjClose,SAND.ST.csv_AdjClose,SCA-B.ST.csv_AdjClose,SEB-A.ST.csv_AdjClose,SECU-B.ST.csv_AdjClose,SHB-A.ST.csv_AdjClose,SKA-B.ST.csv_AdjClose,SKF-B.ST.csv_AdjClose,SSAB-A.ST.csv_AdjClose,SWED-A.ST.csv_AdjClose,SWMA.ST.csv_AdjClose,TEL2-B.ST.csv_AdjClose,TELIA.ST.csv_AdjClose,VOLV-B.ST.csv_AdjClose,XOMX30.csv_AdjClose
223.604065,205.592804,1087.876465,176.19989,281.452728,243.902328,570.170959,274.770782,246.54454,55.559093,225.913727,113.048813,470.055481,146.81868,381.589325,270.227631,155.567657,85.331573,89.9058,144.423126,105.624199,141.518646,185.730286,46.040413,170.685699,315.757965,92.734009,34.333755,154.82309,1635.469971
225.396896,205.396622,1097.344971,177.574921,280.711334,243.756699,576.338196,270.216522,251.369492,55.365105,228.582748,114.170525,470.953491,147.625168,386.341003,271.706024,154.883636,85.177658,89.027382,146.270966,106.029579,142.216644,184.844971,45.579449,172.87291,322.812927,93.602295,34.554077,156.280121,1643.709961
225.49649,203.532944,1092.859985,174.186462,278.19104,241.139954,567.485291,272.968048,252.599335,54.783131,223.244705,113.097572,466.064331,147.868988,388.183472,272.075623,154.150742,83.965508,88.588181,145.492935,105.398987,140.515289,184.006241,47.018795,171.526932,319.857452,93.139206,34.352116,154.682083,1631.199951
222.110062,201.375015,1072.427979,172.320358,274.707245,237.796967,563.804749,272.019287,247.017563,52.95961,225.627762,112.756187,461.773865,147.51265,376.643707,267.734772,154.053024,82.772591,86.664452,143.742355,103.41713,139.773651,182.14241,46.2756,168.24614,310.991058,93.254982,34.067532,152.52002,1604.48999
222.807266,202.159729,1077.411255,173.449844,272.112915,235.980301,572.259827,271.165314,248.720474,52.416439,229.250015,113.341431,466.164154,146.762421,375.576965,269.304596,153.417862,83.619179,87.929367,145.006668,104.22789,141.169647,184.984741,45.824039,169.339737,310.895721,95.16523,35.371113,152.84903,1612.630005
221.313248,196.961044,1086.38147,170.896225,271.890808,235.617157,569.47467,275.529785,249.004318,53.328194,227.24823,101.490326,464.567688,147.737701,379.358948,270.135223,151.414627,83.349808,88.017204,143.693726,104.272934,141.344147,181.490082,47.432724,170.349213,307.368256,95.686211,36.105526,151.391983,1610.400024
219.620041,201.865448,1167.112549,170.061371,272.186951,236.561905,562.611084,272.493652,246.449936,54.026562,225.723083,101.92926,465.964569,146.162247,375.286072,266.995605,150.877182,80.617661,87.173927,142.575302,103.146873,139.555542,180.092194,46.877686,168.75087,305.556854,94.528488,35.784222,150.404953,1603.310059
218.524414,202.748245,1183.05957,171.387299,273.891815,238.960159,549.978271,271.165314,263.195282,49.079784,224.96051,105.245621,468.25943,130.670135,373.443573,265.425751,151.610062,78.443481,87.437454,141.845886,103.282005,139.730026,181.490082,47.028206,169.423859,304.317444,95.088051,36.307487,151.203979,1593.150024
220.118042,207.946915,1168.109131,173.253403,273.81781,238.960159,550.077698,273.82196,263.195282,50.573517,224.769867,105.343155,465.964569,130.838928,377.031555,276.045868,149.753418,78.751335,88.807777,143.353317,104.498138,138.639404,176.317947,45.97456,171.274582,305.270844,94.817909,36.546169,151.626984,1601.839966
217.130005,202.552063,1146.182373,173.106079,264.997253,230.965302,565.694702,266.136719,263.195282,52.183647,222.577438,105.050537,463.170776,133.370941,369.661652,272.90625,146.479843,77.750824,87.929367,142.429413,103.91259,142.434784,168.909256,44.516396,169.171494,300.789948,94.335526,36.087166,148.430862,1584.790039
211.353149,195.73494,1140.700684,168.244385,258.771027,224.279312,547.192993,263.100586,258.370361,50.049744,214.951675,103.392357,457.483429,131.814224,353.467133,260.161926,143.694885,76.423233,85.452232,139.220001,102.606369,139.293777,163.410965,44.309429,165.764511,295.546387,93.428635,35.178326,144.905762,1546.329956
204.978699,191.713318,1120.766968,172.27124,251.951538,217.883606,528.890259,258.736145,248.62587,48.633606,207.707169,99.685829,450.299377,128.757065,346.77597,256.00589,141.838226,74.499184,82.114258,135.718842,99.813751,138.37767,160.289047,43.603867,163.871735,288.968079,91.228958,33.948193,142.931702,1511.599976
209.659943,197.745758,1162.12915,172.86055,259.660492,225.369675,539.135803,260.538849,249.57193,50.845104,213.045227,101.246475,495.498932,131.195282,359.67337,266.718384,147.115021,76.173103,84.39814,137.761185,100.714592,141.867645,162.292664,43.810829,170.012726,297.262451,94.528488,34.590801,146.456818,1551.150024
198.903046,192.645157,1126.248657,166.967575,253.359283,220.209061,551.370789,257.502716,248.815079,50.010944,209.041687,99.539528,478.93576,131.457855,347.163879,259.330322,142.913132,74.59539,83.256195,134.697662,99.363319,139.250168,158.658203,42.540817,167.825531,292.209564,91.499092,33.388195,142.555664,1519.77002
194.221802,189.800613,1111.298584,163.922867,248.689865,215.412521,536.649048,256.648773,248.058273,50.224335,213.521835,98.076431,472.25058,130.295013,340.666656,250.463867,140.909897,73.113869,82.535896,131.634155,98.012054,138.770294,156.561401,41.948143,164.797089,291.065521,89.723907,33.103619,139.923599,1500.180054
197.458832,192.841339,1143.192261,166.918457,252.173645,218.755524,546.098816,261.867157,251.085663,50.922703,215.332947,99.24691,476.640839,131.814224,345.903229,262.747162,142.375687,74.056656,82.904831,133.044342,98.822807,141.213287,158.332031,42.296219,168.162003,293.830322,91.614868,34.104252,142.085663,1521.619995
194.321411,190.585312,1129.736938,166.230942,249.653351,216.866043,542.418396,259.020782,246.733749,51.233089,212.854584,97.686272,480.73175,132.751984,344.060699,262.931946,141.251923,74.499184,82.096695,131.536896,99.903831,140.340775,156.421631,42.728966,167.404907,291.73288,91.499092,34.159332,141.192627,1513.27002
196.861221,191.762375,1141.697266,168.981003,252.989075,219.845917,544.905151,268.793335,249.66655,51.465881,212.377975,98.417824,488.713989,126.600174,351.624634,263.76355,142.180252,75.249565,84.503548,133.530609,102.966705,143.438126,157.959274,43.566238,171.779312,307.272919,91.904297,34.11343,143.636734,1532.150024
200.895065,193.675079,1151.664185,171.092651,256.027649,222.099503,533.274414,274.011719,253.545425,52.12545,213.331192,98.564133,486.518921,130.351288,350.945801,262.839569,142.913132,75.1726,84.644096,133.336105,103.687378,143.350876,159.03096,43.556828,172.788788,312.516449,91.093887,34.342934,143.307693,1542.719971
201.791473,194.165527,1158.640747,174.333786,258.547943,225.224045,536.265869,273.727081,253.829208,52.455238,214.951675,100.368622,486.119812,132.00177,353.951996,264.686554,144.769775,76.173103,85.434669,134.697662,104.678307,143.699875,160.382248,44.347061,173.630005,317.569366,92.965553,34.627518,145.704788,1556.930054
200.695862,192.890381,1151.165771,173.54805,256.250732,223.04425,532.476746,271.165314,249.004318,51.87326,215.428284,98.661674,482.228424,131.926743,352.012512,263.301575,143.743744,75.268799,85.909019,134.065521,105.308907,141.649521,158.378632,45.607666,173.125275,317.855377,93.505821,34.287853,145.375763,1550.859985
204.381088,197.843842,1165.119263,177.574921,262.105774,228.203903,540.952515,272.968048,251.65329,53.095406,215.428284,99.490753,487.716217,132.133057,357.055145,269.951416,147.359329,75.999947,86.436058,137.420807,104.768402,142.173019,163.038193,46.604866,173.630005,321.096863,94.39341,34.379658,148.712875,1569.680054
202.687881,196.274429,1177.683838,179.097275,262.995239,229.003006,549.029358,275.340027,255.626785,53.173004,214.475052,99.588295,490.310455,132.695724,356.570282,273.645416,147.750183,77.500702,86.646873,138.296082,105.128738,142.129395,164.203094,45.83345,175.06012,332.823364,94.972282,34.737682,149.041901,1575.119995
202.488678,196.666779,1180.17688,179.637451,263.070251,229.51178,547.832825,274.296356,256.194397,52.95961,214.37973,100.27108,488.215118,130.03244,355.50354,275.21524,148.873962,77.462219,85.856308,138.441971,104.002678,143.045517,163.271164,46.12508,174.723602,337.113586,95.37748,35.058983,150.263947,1573.880005
202.787491,196.372513,1190.148682,180.030334,261.66156,228.349548,548.231628,275.529785,260.167877,54.25935,215.714249,101.344017,489.911346,129.882401,356.667206,275.400055,147.896774,80.213608,85.610344,138.733734,104.047722,145.57576,163.038193,45.889893,174.891861,338.066956,95.666916,35.563896,148.289871,1577.109985
202.389069,198.040009,1194.635986,181.208923,263.588531,230.456528,553.715942,283.215027,257.51889,54.938324,219.431808,101.782951,488.913574,130.370041,362.000732,279.001678,148.629669,80.579185,85.873878,139.463135,103.642342,144.790497,164.34288,46.40731,176.153702,343.215179,96.814995,36.105526,146.973846,1586.959961
203.683884,197.647659,1204.109375,181.945541,263.292358,230.093384,554.214539,283.404785,258.086548,54.977119,216.190872,101.636627,490.709564,130.370041,362.679565,281.125885,150.339737,80.001968,86.717155,139.220001,102.561325,144.310623,164.389465,46.7742,175.901337,337.780914,95.531845,35.977001,147.960846,1588.22998
201.791473,196.470612,1196.630493,182.534851,263.218323,229.657425,552.120544,279.799377,258.748779,54.084759,217.334717,102.026794,485.620911,128.869583,363.746277,280.848694,150.974899,79.367027,86.014427,138.976868,102.876617,144.528748,162.572235,46.764793,175.817215,337.113586,95.010872,36.105526,147.537842,1583.390015
198.803452,192.547073,1166.714722,180.275864,256.101685,223.988983,546.337097,274.580994,251.747894,52.610428,212.854584,101.246475,475.443512,126.506378,355.988403,274.476044,147.799057,77.827789,85.487373,137.080399,103.236954,142.783768,158.844589,46.435532,174.723602,336.636871,92.869072,35.710781,146.597809,1560.560059
195.815414,185.19046,1181.672607,175.512375,248.318695,216.575729,547.43396,267.844574,242.098038,52.164246,208.6604,99.539528,467.561035,123.711807,349.879089,268.011963,141.398499,76.711838,83.730537,135.621582,100.399292,140.558899,153.905441,45.127888,171.274582,337.876251,91.171074,35.738319,140.769638,1526.459961
198.156036,186.759872,1221.061646,179.19548,254.322769,221.662567,555.21167,267.08551,246.733749,53.890774,214.189087,99.685829,478.237274,125.681145,352.400391,273.922607,142.766556,77.885506,84.046768,136.837265,100.939804,142.652893,154.464584,44.629288,173.125275,340.927063,92.290215,36.206505,141.709656,1547.939941
199.102234,187.10318,1229.537842,180.521408,256.47287,223.624878,553.616211,271.829498,248.436676,54.084759,217.811325,99.685829,484.822662,127.312866,355.891449,277.801453,144.036896,79.463234,84.415703,137.177658,101.660477,143.438126,154.977158,44.629288,175.396591,342.26178,93.332161,36.674694,141.709656,1559.939941
197.558441,188.329285,1243.498413,180.766953,254.248734,222.026688,551.921143,271.734589,248.436676,53.851971,216.762772,99.880913,484.124237,128.663269,358.41275,279.740906,143.010864,79.790321,85.381966,138.490585,103.236954,142.08577,154.837357,47.018795,177.079056,341.403778,94.586372,36.536991,140.346619,1564.189941
199.799454,191.222885,1236.019531,182.191086,260.549988,227.331985,557.903992,271.165314,252.883163,54.918922,222.10083,106.074707,493.702911,128.45697,364.425049,278.909302,145.795822,81.772087,86.559036,140.143936,104.678307,146.535492,158.052475,46.134491,176.994919,348.840057,96.419441,36.536991,142.555664,1585.530029
200.795471,193.429871,1238.014038,182.878601,263.959717,230.965302,553.217407,273.632202,255.910583,55.229305,221.052277,108.171814,496.396942,127.725502,363.746277,278.539673,147.115021,82.580193,86.137398,140.33844,104.498138,148.629486,158.93779,44.742176,177.079056,347.314667,96.718513,36.582893,143.824722,1589.619995
200.795471,193.626038,1238.014038,182.927704,265.590546,232.418839,556.308594,274.296356,256.478241,55.03532,220.194397,104.416527,496.596527,128.231918,364.522034,278.909302,146.528717,83.23436,86.488762,140.532944,105.038651,149.283859,158.332031,44.676323,177.836166,351.318878,97.152664,36.738956,143.119705,1593.829956
