Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1407.650024,1410.489990,1378.199951,1405.849976,1405.849976,0
2019-01-03,1403.800049,1407.859985,1390.650024,1393.520020,1393.520020,0
2019-01-04,1395.280029,1437.859985,1395.280029,1435.290039,1435.290039,0
2019-01-07,1437.739990,1446.150024,1433.619995,1439.930054,1439.930054,0
2019-01-08,1440.739990,1464.020020,1440.050049,1457.469971,1457.469971,88490300
2019-01-09,1458.050049,1475.949951,1458.050049,1470.510010,1470.510010,0
2019-01-10,1469.050049,1472.739990,1454.900024,1470.689941,1470.689941,0
2019-01-11,1470.140015,1478.640015,1460.719971,1465.430054,1465.430054,0
2019-01-14,1462.619995,1462.619995,1454.650024,1458.130005,1458.130005,0
2019-01-15,1459.920044,1471.930054,1451.229980,1455.479980,1455.479980,0
2019-01-16,1456.469971,1472.810059,1455.439941,1468.849976,1468.849976,0
2019-01-17,1468.189941,1476.640015,1458.790039,1473.890015,1473.890015,0
2019-01-18,1474.619995,1499.790039,1474.619995,1499.790039,1499.790039,0
2019-01-21,1499.880005,1501.280029,1487.670044,1493.760010,1493.760010,0
2019-01-22,1492.719971,1496.890015,1480.280029,1486.319946,1486.319946,0
2019-01-23,1485.900024,1486.800049,1473.459961,1478.719971,1478.719971,0
2019-01-24,1479.420044,1489.699951,1478.189941,1488.400024,1488.400024,0
2019-01-25,1487.699951,1505.719971,1487.699951,1501.119995,1501.119995,0
2019-01-28,1501.150024,1505.579956,1489.439941,1491.010010,1491.010010,0
2019-01-29,1491.380005,1506.000000,1485.520020,1502.719971,1502.719971,0
2019-01-30,1501.880005,1510.930054,1497.449951,1509.500000,1509.500000,0
2019-01-31,1510.510010,1526.130005,1507.250000,1515.420044,1515.420044,0
2019-02-01,1515.780029,1528.290039,1514.930054,1525.689941,1525.689941,90458900
2019-02-04,1526.890015,1529.380005,1520.219971,1527.189941,1527.189941,0
2019-02-05,1526.349976,1544.349976,1526.349976,1542.489990,1542.489990,0
2019-02-06,1542.109985,1554.050049,1537.640015,1551.150024,1551.150024,0
2019-02-07,1551.349976,1557.790039,1529.280029,1529.280029,1529.280029,0
2019-02-08,1529.430054,1536.030029,1524.290039,1527.170044,1527.170044,0
